,volume,open,high,low,close,caldt
0,1009662,558.51,558.64,558.11,558.14,2024-07-18 09:30:00-04:00
1,158361,558.14,558.1804,558.01,558.1599,2024-07-18 09:31:00-04:00
2,106308,558.155,558.26,558.04,558.19,2024-07-18 09:32:00-04:00
3,170802,558.19,558.33,558.14,558.33,2024-07-18 09:33:00-04:00
4,107238,558.32,558.34,558.1405,558.18,2024-07-18 09:34:00-04:00
5,121666,558.17,558.42,558.07,558.37,2024-07-18 09:35:00-04:00
6,116648,558.37,558.4,558.21,558.27,2024-07-18 09:36:00-04:00
7,92199,558.27,558.435,558.22,558.415,2024-07-18 09:37:00-04:00
8,205952,558.41,558.77,558.41,558.7,2024-07-18 09:38:00-04:00
9,145049,558.69,558.89,558.5301,558.76,2024-07-18 09:39:00-04:00
10,122101,558.77,558.79,558.48,558.58,2024-07-18 09:40:00-04:00
11,134607,558.57,558.63,558.2,558.32,2024-07-18 09:41:00-04:00
12,79075,558.32,558.39,558.22,558.22,2024-07-18 09:42:00-04:00
13,83973,558.2,558.28,558.02,558.03,2024-07-18 09:43:00-04:00
14,101824,558.03,558.2,557.97,558.0,2024-07-18 09:44:00-04:00
15,126624,558.02,558.03,557.705,557.91,2024-07-18 09:45:00-04:00
16,131470,557.9,558.08,557.865,558.06,2024-07-18 09:46:00-04:00
17,85178,558.0511,558.1904,557.855,557.9101,2024-07-18 09:47:00-04:00
18,65546,557.9,558.0,557.7201,557.7355,2024-07-18 09:48:00-04:00
19,71077,557.75,558.07,557.74,558.059,2024-07-18 09:49:00-04:00
20,92563,558.06,558.23,558.0401,558.23,2024-07-18 09:50:00-04:00
21,63686,558.23,558.23,557.8303,557.8303,2024-07-18 09:51:00-04:00
22,83172,557.8502,558.14,557.85,558.09,2024-07-18 09:52:00-04:00
23,62544,558.105,558.18,558.01,558.05,2024-07-18 09:53:00-04:00
24,45377,558.03,558.03,557.75,557.8,2024-07-18 09:54:00-04:00
25,68727,557.82,558.23,557.82,558.23,2024-07-18 09:55:00-04:00
