,volume,open,high,low,close,caldt
35,325458,559.09,559.25,559.02,559.07,2024-07-17 10:05:00-04:00
36,156822,559.03,559.05,558.62,558.7383,2024-07-17 10:06:00-04:00
37,180005,558.715,558.74,558.41,558.49,2024-07-17 10:07:00-04:00
38,227127,558.49,558.55,558.22,558.24,2024-07-17 10:08:00-04:00
39,187281,558.235,558.29,558.05,558.115,2024-07-17 10:09:00-04:00
40,390207,558.12,558.34,558.02,558.12,2024-07-17 10:10:00-04:00
41,246800,558.12,558.22,557.98,558.04,2024-07-17 10:11:00-04:00
42,232453,558.05,558.37,557.9099,558.28,2024-07-17 10:12:00-04:00
43,141843,558.28,558.7601,558.28,558.71,2024-07-17 10:13:00-04:00
44,136612,558.7019,558.97,558.69,558.81,2024-07-17 10:14:00-04:00
45,106834,558.81,558.98,558.665,558.9699,2024-07-17 10:15:00-04:00
46,193994,558.96,558.96,558.79,558.88,2024-07-17 10:16:00-04:00
47,144361,558.87,559.12,558.82,559.12,2024-07-17 10:17:00-04:00
48,118042,559.13,559.36,559.1,559.24,2024-07-17 10:18:00-04:00
49,61963,559.26,559.3503,559.19,559.27,2024-07-17 10:19:00-04:00
50,73290,559.28,559.32,559.06,559.12,2024-07-17 10:20:00-04:00
51,127388,559.13,559.23,558.91,559.16,2024-07-17 10:21:00-04:00
52,134816,559.16,559.16,558.89,558.97,2024-07-17 10:22:00-04:00
53,111121,558.99,559.17,558.82,559.08,2024-07-17 10:23:00-04:00
54,80688,559.08,559.16,558.95,558.97,2024-07-17 10:24:00-04:00
55,119989,558.97,558.97,558.66,558.71,2024-07-17 10:25:00-04:00
56,139051,558.71,558.81,558.56,558.6599,2024-07-17 10:26:00-04:00
57,74347,558.64,559.04,558.64,558.89,2024-07-17 10:27:00-04:00
58,88618,558.87,559.03,558.6,558.6,2024-07-17 10:28:00-04:00
59,69240,558.585,558.76,558.57,558.69,2024-07-17 10:29:00-04:00
60,65021,558.68,558.88,558.61,558.62,2024-07-17 10:30:00-04:00
61,210408,558.61,558.7799,558.5601,558.65,2024-07-17 10:31:00-04:00
62,68556,558.65,558.66,558.51,558.54,2024-07-17 10:32:00-04:00
63,78640,558.52,558.8101,558.47,558.8101,2024-07-17 10:33:00-04:00
64,213728,558.81,559.105,558.7832,558.86,2024-07-17 10:34:00-04:00
65,78518,558.85,559.03,558.73,558.99,2024-07-17 10:35:00-04:00
66,50393,558.97,559.035,558.78,558.785,2024-07-17 10:36:00-04:00
67,72980,558.785,558.785,558.4401,558.51,2024-07-17 10:37:00-04:00
68,44100,558.49,558.52,558.33,558.34,2024-07-17 10:38:00-04:00
69,58276,558.32,558.645,558.3,558.5,2024-07-17 10:39:00-04:00
70,64403,558.48,558.75,558.48,558.75,2024-07-17 10:40:00-04:00
71,99981,558.742,558.84,558.61,558.63,2024-07-17 10:41:00-04:00
72,68586,558.63,558.66,558.47,558.54,2024-07-17 10:42:00-04:00
73,69749,558.53,558.95,558.43,558.94,2024-07-17 10:43:00-04:00
74,71034,558.955,558.98,558.7,558.83,2024-07-17 10:44:00-04:00
75,67781,558.82,558.99,558.76,558.98,2024-07-17 10:45:00-04:00
76,74881,558.97,559.04,558.75,558.76,2024-07-17 10:46:00-04:00
77,52671,558.76,558.81,558.61,558.61,2024-07-17 10:47:00-04:00
78,115198,558.6,558.65,558.36,558.4,2024-07-17 10:48:00-04:00
79,54836,558.41,558.45,558.28,558.31,2024-07-17 10:49:00-04:00
80,70279,558.32,558.38,558.27,558.28,2024-07-17 10:50:00-04:00
81,77620,558.27,558.43,558.27,558.38,2024-07-17 10:51:00-04:00
82,35945,558.4,558.4,558.3,558.33,2024-07-17 10:52:00-04:00
83,31300,558.35,558.36,558.27,558.31,2024-07-17 10:53:00-04:00
84,315364,558.32,558.36,558.2,558.26,2024-07-17 10:54:00-04:00
85,76592,558.25,558.58,558.25,558.37,2024-07-17 10:55:00-04:00
86,50930,558.36,558.36,558.2,558.225,2024-07-17 10:56:00-04:00
87,237402,558.24,558.36,558.2,558.33,2024-07-17 10:57:00-04:00
88,27754,558.3,558.38,558.25,558.31,2024-07-17 10:58:00-04:00
89,46163,558.29,558.33,558.22,558.25,2024-07-17 10:59:00-04:00
90,96849,558.26,558.29,558.175,558.22,2024-07-17 11:00:00-04:00
91,77865,558.2,558.255,558.18,558.2,2024-07-17 11:01:00-04:00
92,378439,558.19,558.3,558.05,558.25,2024-07-17 11:02:00-04:00
93,81884,558.2389,558.42,558.0701,558.096,2024-07-17 11:03:00-04:00
94,77275,558.12,558.18,557.98,558.08,2024-07-17 11:04:00-04:00
95,80329,558.09,558.1701,557.99,558.1,2024-07-17 11:05:00-04:00
96,60524,558.1,558.37,558.04,558.125,2024-07-17 11:06:00-04:00
97,67816,558.13,558.19,557.98,558.17,2024-07-17 11:07:00-04:00
98,73575,558.14,558.42,557.98,558.39,2024-07-17 11:08:00-04:00
99,133423,558.41,558.63,558.36,558.625,2024-07-17 11:09:00-04:00
100,69545,558.63,558.65,558.5,558.53,2024-07-17 11:10:00-04:00
101,97401,558.54,558.54,558.13,558.18,2024-07-17 11:11:00-04:00
102,56527,558.19,558.26,558.07,558.13,2024-07-17 11:12:00-04:00
103,68472,558.12,558.3474,558.12,558.24,2024-07-17 11:13:00-04:00
104,64324,558.25,558.34,558.1895,558.26,2024-07-17 11:14:00-04:00
105,41593,558.26,558.31,558.08,558.12,2024-07-17 11:15:00-04:00
106,189871,558.13,558.31,558.03,558.13,2024-07-17 11:16:00-04:00
107,50254,558.13,558.42,558.08,558.42,2024-07-17 11:17:00-04:00
108,77483,558.42,558.575,558.345,558.55,2024-07-17 11:18:00-04:00
109,47585,558.56,558.6,558.44,558.515,2024-07-17 11:19:00-04:00
110,59909,558.51,558.52,558.305,558.305,2024-07-17 11:20:00-04:00
111,101855,558.31,558.72,558.31,558.66,2024-07-17 11:21:00-04:00
112,55291,558.66,558.71,558.455,558.67,2024-07-17 11:22:00-04:00
113,73037,558.67,558.77,558.6,558.6043,2024-07-17 11:23:00-04:00
114,68256,558.61,558.61,558.31,558.31,2024-07-17 11:24:00-04:00
115,125610,558.3058,558.33,558.021,558.05,2024-07-17 11:25:00-04:00
116,101355,558.03,558.09,557.81,557.91,2024-07-17 11:26:00-04:00
117,61766,557.9,558.23,557.9,558.16,2024-07-17 11:27:00-04:00
118,75112,558.13,558.38,558.13,558.3,2024-07-17 11:28:00-04:00
119,40990,558.3,558.6,558.3,558.5999,2024-07-17 11:29:00-04:00
120,61994,558.605,558.605,558.24,558.47,2024-07-17 11:30:00-04:00
