timestamp,today_open,current_close,yesterday_close,upper_bound,lower_bound,sigma,signal
2024-10-30 09:31:07.928283-04:00,581.8,580.91,581.77,582.1875935211267,581.3824264647888,0.0006661971830985918,-1
2024-10-30 09:32:07.322295-04:00,581.8,581.24,581.77,582.2351208450704,581.3349015915493,0.0007478873239436622,-1
2024-10-30 09:33:07.631685-04:00,581.8,581.39,581.77,582.3039535211267,581.2660724647887,0.0008661971830985916,0
2024-10-30 09:34:07.470423-04:00,581.8,581.35,581.77,582.3768833802816,581.1931463661972,0.000991549295774648,0
2024-10-30 09:35:07.662468-04:00,581.8,581.01,581.77,582.3834388732394,581.1865912112676,0.0010028169014084508,-1
2024-10-30 09:36:06.631307-04:00,581.8,581.015,581.77,582.4448966197183,581.1251366338028,0.0011084507042253523,-1
2024-10-30 09:37:07.145383-04:00,581.8,580.97,581.77,582.4563687323944,581.113665112676,0.0011281690140845073,-1
2024-10-30 09:38:07.993729-04:00,581.8,581,581.77,582.4678408450703,581.1021935915493,0.0011478873239436625,-1
2024-10-30 09:39:07.794547-04:00,581.8,580.74,581.77,582.5202847887324,581.0497523521127,0.001238028169014085,-1
2024-10-30 09:40:07.514338-04:00,581.8,580.49,581.77,582.5112709859154,581.0587656901408,0.0012225352112676061,-1
2024-10-30 09:41:08.310092-04:00,581.8,580.07,581.77,582.4850490140844,581.0849863098591,0.001177464788732395,-1
2024-10-30 09:42:07.492013-04:00,581.8,579.92,581.77,582.5047154929576,581.0653208450703,0.0012112676056338031,-1
2024-10-30 09:43:08.066914-04:00,581.8,579.755,581.77,582.5399512676056,581.0300868873239,0.0012718309859154934,-1
2024-10-30 09:44:08.347483-04:00,581.8,579.49,581.77,582.5637149295774,581.0063244507043,0.0013126760563380282,-1
2024-10-30 09:45:08.149957-04:00,581.8,579.825,581.77,582.6276309859154,580.9424116901408,0.0014225352112676062,-1
2024-10-30 09:46:07.235936-04:00,581.8,579.78,581.77,582.6636861971831,580.9063583380281,0.0014845070422535216,-1
2024-10-30 09:47:07.241822-04:00,581.8,580.245,581.77,582.6563112676056,580.9137328873239,0.0014718309859154937,-1
2024-10-30 09:48:07.164840-04:00,581.8,580.6,581.77,582.7021997183099,580.8678468028169,0.0015507042253521122,-1
2024-10-30 09:49:06.996117-04:00,581.8,580.53,581.77,582.7128523943661,580.8571946760563,0.001569014084507042,-1
2024-10-30 09:50:07.327539-04:00,581.8,580.525,581.77,582.7620185915492,580.8080310140845,0.0016535211267605632,-1
2024-10-30 09:51:07.466534-04:00,581.8,580.79,581.77,582.7784073239435,580.7916431267605,0.0016816901408450713,-1
2024-10-30 09:52:07.854389-04:00,581.8,581.05,581.77,582.7669352112675,580.8031146478872,0.001661971830985916,0
2024-10-30 09:53:07.117666-04:00,581.8,581.07,581.77,582.7480881690141,580.8219607183098,0.0016295774647887326,0
2024-10-30 09:54:07.483952-04:00,581.8,581.3,581.77,582.7693935211267,580.8006564647887,0.0016661971830985913,0
2024-10-30 09:55:06.563872-04:00,581.8,581.375,581.77,582.7530047887324,580.8170443521127,0.0016380281690140848,0
2024-10-30 09:56:07.383622-04:00,581.8,581.69,581.77,582.8546149295773,580.7154394507041,0.0018126760563380287,0
2024-10-30 09:57:07.531770-04:00,581.8,581.73,581.77,582.8677259154929,580.702329140845,0.0018352112676056334,0
2024-10-30 09:58:06.499174-04:00,581.8,581.8,581.77,582.8603509859154,580.7097036901408,0.0018225352112676055,0
