,volume,open,high,low,close,caldt
97,58088,564.11,564.1401,563.99,564.07,2024-07-15 11:07:00-04:00
98,35059,564.07,564.15,564.07,564.08,2024-07-15 11:08:00-04:00
99,56014,564.07,564.07,563.99,564.04,2024-07-15 11:09:00-04:00
100,53877,564.06,564.265,564.05,564.26,2024-07-15 11:10:00-04:00
101,78479,564.25,564.38,564.23,564.3689,2024-07-15 11:11:00-04:00
102,45080,564.37,564.45,564.34,564.3706,2024-07-15 11:12:00-04:00
103,76683,564.375,564.55,564.35,564.52,2024-07-15 11:13:00-04:00
104,53339,564.52,564.54,564.41,564.52,2024-07-15 11:14:00-04:00
105,51922,564.52,564.54,564.44,564.49,2024-07-15 11:15:00-04:00
106,50411,564.49,564.55,564.43,564.4404,2024-07-15 11:16:00-04:00
107,47337,564.455,564.5105,564.44,564.51,2024-07-15 11:17:00-04:00
108,81217,564.51,564.66,564.51,564.62,2024-07-15 11:18:00-04:00
109,75474,564.61,564.64,564.51,564.62,2024-07-15 11:19:00-04:00
110,55143,564.62,564.69,564.62,564.6886,2024-07-15 11:20:00-04:00
111,142179,564.68,564.75,564.65,564.72,2024-07-15 11:21:00-04:00
112,59698,564.72,564.73,564.6199,564.72,2024-07-15 11:22:00-04:00
113,48488,564.74,564.77,564.6896,564.73,2024-07-15 11:23:00-04:00
114,44787,564.7437,564.8371,564.7,564.7305,2024-07-15 11:24:00-04:00
115,165553,564.73,564.74,564.31,564.36,2024-07-15 11:25:00-04:00
116,123104,564.36,564.36,564.1,564.16,2024-07-15 11:26:00-04:00
117,139062,564.16,564.27,563.92,563.9808,2024-07-15 11:27:00-04:00
118,69956,563.97,564.02,563.8201,563.99,2024-07-15 11:28:00-04:00
119,62506,563.995,564.01,563.71,563.72,2024-07-15 11:29:00-04:00
120,127257,563.73,563.81,563.495,563.73,2024-07-15 11:30:00-04:00
121,136868,563.72,563.84,563.57,563.64,2024-07-15 11:31:00-04:00
122,59554,563.66,563.8698,563.6482,563.8497,2024-07-15 11:32:00-04:00
123,140993,563.84,563.84,563.52,563.535,2024-07-15 11:33:00-04:00
124,105734,563.525,563.53,563.2595,563.335,2024-07-15 11:34:00-04:00
125,66378,563.32,563.46,563.255,563.435,2024-07-15 11:35:00-04:00
126,62575,563.46,563.7,563.385,563.7,2024-07-15 11:36:00-04:00
127,56044,563.695,563.838,563.64,563.81,2024-07-15 11:37:00-04:00
128,53151,563.83,563.92,563.76,563.91,2024-07-15 11:38:00-04:00
129,58207,563.9051,564.07,563.89,564.02,2024-07-15 11:39:00-04:00
130,49081,564.02,564.15,564.005,564.1,2024-07-15 11:40:00-04:00
131,77622,564.09,564.1,563.78,563.84,2024-07-15 11:41:00-04:00
132,25011,563.84,563.95,563.82,563.93,2024-07-15 11:42:00-04:00
133,19241,563.92,564.05,563.9003,563.93,2024-07-15 11:43:00-04:00
134,41447,563.94,563.94,563.605,563.67,2024-07-15 11:44:00-04:00
135,100039,563.69,563.75,563.15,563.27,2024-07-15 11:45:00-04:00
136,65440,563.24,563.31,563.15,563.19,2024-07-15 11:46:00-04:00
137,71322,563.19,563.54,563.14,563.48,2024-07-15 11:47:00-04:00
138,42557,563.49,563.665,563.455,563.63,2024-07-15 11:48:00-04:00
139,66405,563.64,563.7,563.5005,563.51,2024-07-15 11:49:00-04:00
140,23160,563.5028,563.71,563.5028,563.62,2024-07-15 11:50:00-04:00
141,23928,563.62,563.69,563.62,563.64,2024-07-15 11:51:00-04:00
142,34554,563.63,563.635,563.34,563.38,2024-07-15 11:52:00-04:00
143,30111,563.42,563.605,563.42,563.565,2024-07-15 11:53:00-04:00
144,33224,563.555,563.555,563.4001,563.48,2024-07-15 11:54:00-04:00
145,42497,563.46,563.5099,563.38,563.44,2024-07-15 11:55:00-04:00
146,40967,563.435,563.51,563.41,563.4339,2024-07-15 11:56:00-04:00
147,27070,563.445,563.58,563.43,563.54,2024-07-15 11:57:00-04:00
148,75776,563.5401,563.76,563.51,563.75,2024-07-15 11:58:00-04:00
149,41332,563.73,563.85,563.69,563.7799,2024-07-15 11:59:00-04:00
150,63983,563.77,563.77,563.57,563.73,2024-07-15 12:00:00-04:00
151,52901,563.71,563.76,563.46,563.52,2024-07-15 12:01:00-04:00
152,57188,563.53,563.53,563.3701,563.53,2024-07-15 12:02:00-04:00
153,60684,563.55,563.63,563.33,563.33,2024-07-15 12:03:00-04:00
154,55709,563.31,563.43,563.27,563.36,2024-07-15 12:04:00-04:00
155,124265,563.36,563.36,562.99,563.19,2024-07-15 12:05:00-04:00
156,36881,563.205,563.25,563.08,563.12,2024-07-15 12:06:00-04:00
157,41192,563.145,563.21,563.02,563.16,2024-07-15 12:07:00-04:00
158,49444,563.18,563.225,563.0,563.02,2024-07-15 12:08:00-04:00
159,37462,563.01,563.16,562.98,563.1,2024-07-15 12:09:00-04:00
160,31635,563.115,563.14,563.005,563.01,2024-07-15 12:10:00-04:00
161,191869,563.01,563.03,562.64,562.84,2024-07-15 12:11:00-04:00
