Datetime,Symbol,Open,High,Low,Close,Volume
2024-10-22 11:58:00-04:00,SPY,582.18,582.18,582.18,582.18,381
2024-10-22 11:59:00-04:00,SPY,582.145,582.16,582.145,582.16,322
